event_name,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,date,r_edge_count,b_edge_count,success
UFC Fight Night: Rodriguez vs. Lemos,Miranda Maverick,Shanna Young,Red,Women's Flyweight,0,Women,Decision - Unanimous,3,3.0,300,Jason Herzog,0,63,108,0.58,172,240,0.72,5,8,0.62,1,0,554,15,5,26.0,160.02,56.7,165.1,Southpaw,3.8,2.6,0.47,0.46,0.59,0.4,0.4,2.49,0,29,82,0.35,29,82,0.35,0,0,0.0,0,0,0,9,6,33.0,170.18,56.7,165.1,Orthodox,3.18,4.88,0.47,0.0,0.43,0.53,0.6,0.0,0,34,26,0.2299999999999999,143,158,0.37,5,8,0.62,1,0,554,6,-1,-7.0,-10.159999999999997,0.0,0.0,0.6199999999999997,-2.28,0.0,0.46,0.1599999999999999,-0.13,-0.1999999999999999,2.49,2022-11-05,0,3,1
UFC 281: Adesanya vs. Pereira,Erin Blanchfield,Molly McCann,Red,Women's Flyweight,0,Women,Submission,1,3.0,217,Kevin MacDonald,0,25,38,0.65,93,115,0.81,1,1,1.0,2,0,168,12,1,24.0,162.56,56.7,167.64,Orthodox,5.58,3.32,0.52,0.36,0.62,0.83,1.2,2.86,0,7,13,0.53,7,13,0.54,0,0,0.0,0,0,0,14,6,33.0,162.56,52.16,157.48,Orthodox,5.79,4.94,0.49,0.38,0.63,0.43,0.6,1.82,0,18,25,0.12,86,102,0.27,1,1,1.0,2,0,168,-2,-5,-9.0,0.0,4.540000000000006,10.159999999999997,-0.2099999999999999,-1.6200000000000006,0.03,-0.02,-0.01,0.3999999999999999,0.6,1.0399999999999998,2022-11-12,7,0,1
UFC Fight Night: Nzechukwu vs. Cutelaba,Natalia Silva,Tereza Bleda,Red,Women's Flyweight,0,Women,KO/TKO,3,3.0,87,Chris Tognoni,1,45,72,0.62,62,89,0.7,0,3,0.0,0,1,133,17,5,27.0,162.56,56.7,165.1,Southpaw,4.53,2.1,0.44,0.28,0.65,0.91,0.0,0.5,0,18,47,0.38,25,55,0.45,1,7,0.14,2,0,296,7,1,22.0,175.26,56.7,180.34,Orthodox,3.02,1.86,0.53,0.27,0.46,0.83,0.7,1.81,1,27,25,0.24,37,34,0.2499999999999999,-1,-4,-0.14,-2,1,-163,10,4,5.0,-12.699999999999989,0.0,-15.240000000000007,1.5100000000000002,0.24,-0.09,0.01,0.19,0.08,-0.7,-1.31,2022-11-19,0,0,1
UFC Fight Night: Nzechukwu vs. Cutelaba,Jennifer Maia,Maryna Moroz,Red,Women's Flyweight,0,Women,Decision - Unanimous,3,3.0,300,Jacob Montalvo,0,109,253,0.43,117,261,0.45,0,0,0.0,0,0,104,21,10,35.0,162.56,56.7,162.56,Orthodox,4.35,4.52,0.38,0.27,0.55,0.58,0.1,0.42,0,80,272,0.29,84,276,0.3,0,0,0.0,0,0,0,11,6,32.0,170.18,56.7,170.18,Orthodox,4.42,4.89,0.33,0.24,0.51,0.42,0.6,0.7,0,29,-19,0.14,33,-15,0.15,0,0,0.0,0,0,104,10,4,3.0,-7.6200000000000045,0.0,-7.6200000000000045,-0.0700000000000002,-0.3700000000000001,0.0499999999999999,0.03,0.04,0.1599999999999999,-0.5,-0.2799999999999999,2022-11-19,6,2,1
UFC 283: Teixeira vs. Hill,Lauren Murphy,Jessica Andrade,Blue,Women's Flyweight,0,Women,Decision - Unanimous,3,3.0,300,Osiris Maia,0,100,293,0.34,103,296,0.35,0,15,0.0,0,0,9,16,6,40.0,165.1,56.7,170.18,Orthodox,4.05,5.25,0.39,0.25,0.55,0.69,0.1,1.03,0,231,369,0.62,237,375,0.63,1,1,1.0,0,0,71,25,12,32.0,154.94,52.16,157.48,Orthodox,6.67,5.36,0.5,0.54,0.54,0.72,0.4,2.45,0,-131,-76,-0.2799999999999999,-134,-79,-0.28,-1,14,-1.0,0,0,-62,-9,-6,8.0,10.159999999999997,4.540000000000006,12.700000000000015,-2.62,-0.1100000000000003,-0.1099999999999999,-0.29,0.01,-0.03,-0.3,-1.4200000000000002,2023-01-21,1,7,0
UFC Fight Night: Andrade vs. Blanchfield,Jessica Andrade,Erin Blanchfield,Blue,Women's Flyweight,0,Women,Submission,2,5.0,97,Herb Dean,0,53,143,0.37,56,147,0.38,0,1,0.0,0,0,0,25,12,32.0,154.94,52.16,157.48,Orthodox,6.67,5.36,0.5,0.54,0.54,0.72,0.4,2.45,0,51,120,0.42,53,124,0.43,1,3,0.33,1,0,63,12,1,24.0,162.56,56.7,167.64,Orthodox,5.58,3.32,0.52,0.36,0.62,0.83,1.2,2.86,0,2,23,-0.0499999999999999,3,23,-0.0499999999999999,-1,-2,-0.33,-1,0,-63,13,11,8.0,-7.6200000000000045,-4.540000000000006,-10.159999999999997,1.09,2.0400000000000005,-0.02,0.18,-0.0799999999999999,-0.1099999999999999,-0.7999999999999999,-0.4099999999999997,2023-02-18,1,0,1
UFC Fight Night: Muniz vs. Allen,Jasmine Jasudavicius,Gabriella Fernandes,Red,Women's Flyweight,0,Women,Decision - Unanimous,3,3.0,300,Chris Tognoni,0,24,54,0.44,149,215,0.69,4,8,0.5,0,0,691,10,3,35.0,170.18,56.7,172.72,Orthodox,3.95,4.03,0.45,0.37,0.51,0.8,0.4,2.16,0,26,56,0.46,54,86,0.63,0,1,0.0,0,0,4,8,3,30.0,167.64,56.7,167.64,Southpaw,1.63,2.7,0.47,0.0,0.47,0.61,0.0,0.0,0,-2,-2,-0.02,95,129,0.0599999999999999,4,7,0.5,0,0,687,2,0,5.0,2.5400000000000205,0.0,5.0800000000000125,2.3200000000000003,1.33,-0.0199999999999999,0.37,0.04,0.19,0.4,2.16,2023-02-25,0,0,1
UFC Fight Night: Muniz vs. Allen,Tatiana Suarez,Montana De La Rosa,Red,Women's Flyweight,0,Women,Submission,2,3.0,171,Chris Tognoni,0,10,13,0.76,37,43,0.86,2,6,0.33,1,0,345,11,0,33.0,165.1,52.16,167.64,Southpaw,4.27,1.38,0.63,0.61,0.51,1.0,0.9,6.2,0,5,11,0.45,36,46,0.78,0,0,0.0,0,0,37,12,9,29.0,170.18,56.7,172.72,Orthodox,2.7,3.21,0.36,0.31,0.44,0.64,0.8,1.71,0,5,2,0.31,1,-3,0.0799999999999999,2,6,0.33,1,0,308,-1,-9,4.0,-5.0800000000000125,-4.540000000000006,-5.0800000000000125,1.5699999999999994,-1.83,0.27,0.3,0.07,0.36,0.0999999999999999,4.49,2023-02-25,0,7,0
UFC 285: Jones vs. Gane,Viviane Araujo,Amanda Ribas,Blue,Women's Flyweight,0,Women,Decision - Unanimous,3,3.0,300,Keith Peterson,0,46,115,0.4,86,162,0.53,0,0,0.0,2,0,0,12,6,37.0,162.56,56.7,172.72,Orthodox,4.11,4.96,0.47,0.4,0.56,0.78,0.6,1.76,0,98,183,0.53,205,320,0.64,2,2,1.0,0,0,500,12,5,30.0,160.02,56.7,167.64,Orthodox,4.63,3.4,0.4,0.51,0.61,0.85,0.7,2.07,0,-52,-68,-0.13,-119,-158,-0.1099999999999999,-2,-2,-1.0,2,0,-500,0,1,7.0,2.539999999999992,0.0,5.0800000000000125,-0.5199999999999996,1.56,0.0699999999999999,-0.1099999999999999,-0.0499999999999999,-0.0699999999999999,-0.0999999999999999,-0.3099999999999998,2023-03-04,5,1,1
UFC Fight Night: Yan vs. Dvalishvili,Ariane Lipski,JJ Aldrich,Red,Women's Flyweight,0,Women,Decision - Unanimous,3,3.0,300,Keith Peterson,0,101,204,0.49,113,216,0.52,2,2,1.0,0,0,19,17,8,30.0,167.64,56.7,170.18,Orthodox,4.27,4.23,0.4,0.55,0.52,0.79,0.4,0.64,0,49,99,0.49,56,106,0.53,0,12,0.0,0,0,76,13,6,31.0,165.1,56.7,170.18,Southpaw,4.05,4.53,0.46,0.25,0.6,0.66,0.0,0.71,0,52,105,0.0,57,110,-0.01,2,-10,1.0,0,0,-57,4,2,-1.0,2.539999999999992,0.0,0.0,0.2199999999999997,-0.2999999999999998,-0.06,0.3,-0.0799999999999999,0.13,0.4,-0.0699999999999999,2023-03-11,5,7,0
UFC 286: Edwards vs. Usman 3,Joanne Wood,Luana Carolina,Red,Women's Flyweight,0,Women,Decision - Split,3,3.0,300,Herb Dean,0,131,228,0.57,177,278,0.64,2,4,0.5,0,0,110,17,8,38.0,167.64,56.7,165.1,Orthodox,7.1,4.89,0.51,0.55,0.51,0.58,0.3,1.52,0,100,199,0.5,123,222,0.55,0,0,0.0,0,0,42,10,4,30.0,167.64,56.7,175.26,Orthodox,4.63,3.63,0.49,0.42,0.49,0.76,0.6,0.38,0,31,29,0.0699999999999999,54,56,0.0899999999999999,2,4,0.5,0,0,68,7,4,8.0,0.0,0.0,-10.159999999999997,2.47,1.2599999999999998,0.02,0.13,0.02,-0.18,-0.3,1.14,2023-03-18,8,3,0
UFC 286: Edwards vs. Usman 3,Juliana Miller,Veronica Hardy,Blue,Women's Flyweight,0,Women,Decision - Unanimous,3,3.0,300,Lukasz Bosacki,0,30,79,0.37,49,98,0.5,0,3,0.0,3,0,79,4,3,27.0,170.18,56.7,167.64,Orthodox,3.31,4.75,0.45,0.44,0.32,0.0,1.8,1.84,0,62,77,0.8,78,95,0.82,4,4,1.0,0,0,456,8,4,28.0,162.56,56.7,162.56,Southpaw,3.27,4.1,0.45,0.41,0.46,0.57,0.4,1.27,0,-32,2,-0.43,-29,3,-0.3199999999999999,-4,-1,-1.0,3,0,-377,-4,-1,-1.0,7.6200000000000045,0.0,5.079999999999984,0.04,0.6500000000000004,0.0,0.03,-0.14,-0.57,1.4,0.5700000000000001,2023-03-18,0,3,1
UFC 286: Edwards vs. Usman 3,Jennifer Maia,Casey O'Neill,Red,Women's Flyweight,0,Women,Decision - Unanimous,3,3.0,300,Herb Dean,0,145,349,0.41,151,355,0.43,0,4,0.0,0,0,83,21,10,35.0,162.56,56.7,162.56,Orthodox,4.35,4.52,0.38,0.27,0.55,0.58,0.1,0.42,0,137,264,0.51,137,264,0.52,0,1,0.0,0,0,0,9,2,26.0,167.64,56.7,175.26,Orthodox,8.41,6.3,0.54,0.38,0.56,0.66,0.7,1.77,0,8,85,-0.1,14,91,-0.09,0,3,0.0,0,0,83,12,8,9.0,-5.079999999999984,0.0,-12.699999999999989,-4.0600000000000005,-1.7800000000000002,-0.16,-0.1099999999999999,-0.01,-0.08,-0.6,-1.35,2023-03-18,2,6,1
UFC Fight Night: Vera vs. Sandhagen,Andrea Lee,Maycee Barber,Blue,Women's Flyweight,0,Women,Decision - Split,3,3.0,300,Kerry Hatley,0,39,103,0.37,57,125,0.46,5,5,1.0,0,0,320,13,9,35.0,167.64,56.7,175.26,Orthodox,4.69,3.76,0.46,0.58,0.62,0.55,0.6,1.85,0,48,127,0.37,66,158,0.42,2,2,1.0,0,1,45,14,2,25.0,165.1,56.7,165.1,Switch,4.7,2.9,0.53,0.43,0.54,0.53,0.1,1.44,0,-9,-24,0.0,-9,-33,0.04,3,3,0.0,0,-1,275,-1,7,10.0,2.539999999999992,0.0,10.159999999999997,-0.0099999999999997,0.8599999999999999,-0.07,0.1499999999999999,0.0799999999999999,0.02,0.5,0.4100000000000001,2023-03-25,5,7,0
UFC Fight Night: Pavlovich vs. Blaydes,Iasmin Lucindo,Brogan Walker,Red,Women's Flyweight,0,Women,Decision - Unanimous,3,3.0,300,Chris Tognoni,0,53,118,0.44,57,123,0.46,4,5,0.8,0,0,46,15,5,22.0,160.02,52.16,167.64,Orthodox,3.33,3.23,0.39,0.66,0.67,0.66,0.4,2.33,0,29,145,0.2,31,149,0.21,0,0,0.0,0,0,64,8,4,35.0,162.56,56.7,170.18,Switch,2.04,3.7,0.3,0.0,0.47,0.11,0.0,0.0,0,24,-27,0.24,26,-26,0.25,4,5,0.8,0,0,-18,7,1,-13.0,-2.539999999999992,-4.540000000000006,-2.5400000000000205,1.29,-0.4700000000000002,0.09,0.66,0.2,0.55,0.4,2.33,2023-04-22,0,0,0
UFC Fight Night: Rozenstruik vs. Almeida,Ji Yeon Kim,Mandy Bohm,Blue,Women's Flyweight,0,Women,Decision - Split,3,3.0,115,Larry Carter,0,10,36,0.27,32,62,0.52,0,1,0.0,1,1,344,9,7,34.0,170.18,56.7,182.88,Orthodox,5.37,5.41,0.36,0.0,0.56,0.5,0.1,0.0,0,17,31,0.54,25,51,0.49,2,6,0.33,1,1,245,8,2,34.0,170.18,56.7,180.34,Orthodox,2.51,3.24,0.45,0.18,0.6,0.75,0.7,0.72,0,-7,5,-0.27,7,11,0.03,-2,-5,-0.33,0,0,99,1,5,0.0,0.0,0.0,2.539999999999992,2.8600000000000003,2.17,-0.09,-0.18,-0.0399999999999999,-0.25,-0.6,-0.72,2023-05-13,1,6,0
UFC Fight Night: Dern vs. Hill,Natalia Silva,Victoria Leonardo,Red,Women's Flyweight,0,Women,KO/TKO,1,3.0,178,Kerry Hatley,1,20,45,0.44,21,46,0.46,0,0,0.0,0,0,16,17,5,27.0,162.56,56.7,165.1,Southpaw,4.53,2.1,0.44,0.28,0.65,0.91,0.0,0.5,0,7,18,0.38,7,18,0.39,0,1,0.0,0,0,0,9,6,34.0,165.1,56.7,162.56,Orthodox,3.27,4.7,0.39,0.27,0.46,0.71,0.0,1.6,1,13,27,0.06,14,28,0.07,0,-1,0.0,0,0,16,8,-1,-7.0,-2.539999999999992,0.0,2.539999999999992,1.2600000000000002,-2.6,0.0499999999999999,0.01,0.19,0.2,0.0,-1.1,2023-05-20,0,2,1
UFC Fight Night: Kara-France vs. Albazi,Karine Silva,Ketlen Souza,Red,Women's Flyweight,0,Women,Submission,1,3.0,105,Chris Tognoni,0,3,10,0.3,4,12,0.33,1,1,1.0,1,0,81,17,4,30.0,165.1,56.7,170.18,Orthodox,3.37,3.37,0.35,0.6,0.5,0.0,4.1,2.45,0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0,13,4,29.0,160.02,52.16,160.02,Orthodox,0.0,1.71,0.0,0.0,0.7,0.0,0.0,0.0,0,3,10,0.3,3,11,-0.6699999999999999,1,1,1.0,1,0,81,4,0,1.0,5.079999999999984,4.540000000000006,10.159999999999997,3.37,1.66,0.35,0.6,-0.1999999999999999,0.0,4.1,2.45,2023-06-03,0,0,1
UFC 289: Nunes vs. Aldana,Miranda Maverick,Jasmine Jasudavicius,Blue,Women's Flyweight,0,Women,Decision - Unanimous,3,3.0,300,Jerin Valel,0,63,127,0.49,68,132,0.52,0,3,0.0,0,0,7,15,5,26.0,160.02,56.7,165.1,Southpaw,3.8,2.6,0.47,0.46,0.59,0.4,0.4,2.49,0,67,158,0.42,115,235,0.49,1,1,1.0,0,0,455,10,3,35.0,170.18,56.7,172.72,Orthodox,3.95,4.03,0.45,0.37,0.51,0.8,0.4,2.16,0,-4,-31,0.07,-47,-103,0.03,-1,2,-1.0,0,0,-448,5,2,-9.0,-10.159999999999997,0.0,-7.6200000000000045,-0.1500000000000003,-1.4300000000000002,0.0199999999999999,0.09,0.0799999999999999,-0.4,0.0,0.33,2023-06-10,3,0,0
UFC Fight Night: Vettori vs. Cannonier,Tereza Bleda,Gabriella Fernandes,Red,Women's Flyweight,0,Women,Decision - Unanimous,3,3.0,300,Chris Tognoni,0,57,99,0.57,181,235,0.77,3,10,0.3,0,0,651,7,1,22.0,175.26,56.7,180.34,Orthodox,3.02,1.86,0.53,0.27,0.46,0.83,0.7,1.81,0,23,47,0.48,47,72,0.65,0,0,0.0,0,0,10,8,3,30.0,167.64,56.7,167.64,Southpaw,1.63,2.7,0.47,0.0,0.47,0.61,0.0,0.0,0,34,52,0.0899999999999999,134,163,0.12,3,10,0.3,0,0,641,-1,-2,-8.0,7.6200000000000045,0.0,12.700000000000015,1.39,-0.8400000000000001,0.06,0.27,-0.0099999999999999,0.2199999999999999,0.7,1.81,2023-06-17,0,0,0
